,game_id,time,quarter,event,total_time
0,0,720.0,1,Jump ball: C. Bosh vs. K. Garnett (C. Lee gains possession),0.0
1,0,708.0,1,B. Bass misses 2-pt shot from 18 ft (block by C. Bosh),48.0
2,0,707.0,1,Offensive rebound by B. Bass,52.0
3,0,702.0,1,B. Bass misses 2-pt shot from 11 ft (block by D. Wade),72.0
4,0,700.0,1,Defensive rebound by L. James,80.0
5,0,686.0,1,S. Battier makes 3-pt shot from 26 ft (assist by M. Chalmers),136.0
6,0,679.0,1,Personal foul by C. Bosh (drawn by K. Garnett),164.0
7,0,667.0,1,K. Garnett misses 2-pt shot from 19 ft,212.0
8,0,666.0,1,Defensive rebound by L. James,216.0
9,0,658.0,1,M. Chalmers misses 2-pt shot from 2 ft,248.0
10,0,657.0,1,Defensive rebound by P. Pierce,252.0
11,0,639.0,1,B. Bass makes 2-pt shot from 18 ft (assist by R. Rondo),324.0
12,0,614.0,1,D. Wade misses 2-pt shot from 19 ft,424.0
13,0,613.0,1,Defensive rebound by R. Rondo,428.0
14,0,601.0,1,P. Pierce makes 3-pt shot from 26 ft (assist by C. Lee),476.0
15,0,584.0,1,L. James makes 2-pt shot from 19 ft,544.0
16,0,573.0,1,P. Pierce makes 2-pt shot from 2 ft,588.0
17,0,562.0,1,C. Bosh misses 3-pt shot from 24 ft,632.0
18,0,561.0,1,Defensive rebound by K. Garnett,636.0
19,0,543.0,1,P. Pierce makes 3-pt shot from 25 ft (assist by R. Rondo),708.0
20,0,517.0,1,S. Battier makes 3-pt shot from 25 ft (assist by D. Wade),812.0
21,0,512.0,1,Offensive foul by K. Garnett (drawn by C. Bosh),832.0
22,0,512.0,1,Turnover by K. Garnett (offensive foul),832.0
23,0,500.0,1,L. James misses 2-pt shot from 18 ft,880.0
24,0,499.0,1,Defensive rebound by B. Bass,884.0
25,0,490.0,1,K. Garnett misses 2-pt shot from 12 ft,920.0
26,0,489.0,1,Defensive rebound by L. James,924.0
27,0,480.0,1,Turnover by D. Wade (out of bounds lost ball),960.0
28,0,461.0,1,B. Bass misses 2-pt shot from 14 ft,1036.0
29,0,460.0,1,Defensive rebound by C. Bosh,1040.0
30,0,450.0,1,Shooting foul by B. Bass (drawn by L. James),1080.0
31,0,450.0,1,L. James makes free throw 1 of 2,1080.0
32,0,450.0,1,L. James makes free throw 2 of 2,1080.0
33,0,431.0,1,B. Bass makes 2-pt shot from 2 ft (assist by K. Garnett),1156.0
34,0,419.0,1,Turnover by D. Wade (lost ball; steal by P. Pierce),1204.0
35,0,413.0,1,C. Lee makes 2-pt shot from 18 ft (assist by R. Rondo),1228.0
36,0,400.0,1,D. Wade makes 2-pt shot from 8 ft,1280.0
37,0,386.0,1,Turnover by K. Garnett (traveling),1336.0
38,0,386.0,1,J. Sullinger enters the game for K. Garnett,1336.0
39,0,370.0,1,D. Wade misses 2-pt shot from 19 ft,1400.0
