,awayteam,hometeam,possession,awayscore,homescore,total_time,win,game_id
0,San Antonio,LA Lakers,1,2,0,0.0,0,0
1,San Antonio,LA Lakers,1,2,0,88.0,0,0
2,San Antonio,LA Lakers,0,2,0,124.0,0,0
3,San Antonio,LA Lakers,1,2,0,128.0,0,0
4,San Antonio,LA Lakers,1,2,0,188.0,0,0
5,San Antonio,LA Lakers,0,2,0,212.0,0,0
6,San Antonio,LA Lakers,0,2,2,252.0,0,0
7,San Antonio,LA Lakers,1,2,2,312.0,0,0
8,San Antonio,LA Lakers,0,2,2,316.0,0,0
9,San Antonio,LA Lakers,0,2,4,400.0,0,0
10,San Antonio,LA Lakers,1,4,4,492.0,0,0
11,San Antonio,LA Lakers,0,4,4,528.0,0,0
12,San Antonio,LA Lakers,1,4,4,532.0,0,0
13,San Antonio,LA Lakers,1,4,4,580.0,0,0
14,San Antonio,LA Lakers,0,4,4,584.0,0,0
15,San Antonio,LA Lakers,0,4,4,612.0,0,0
16,San Antonio,LA Lakers,1,4,4,612.0,0,0
17,San Antonio,LA Lakers,0,4,5,612.0,0,0
18,San Antonio,LA Lakers,0,4,6,612.0,0,0
19,San Antonio,LA Lakers,1,4,6,684.0,0,0
20,San Antonio,LA Lakers,0,4,6,688.0,0,0
21,San Antonio,LA Lakers,0,4,6,720.0,0,0
22,San Antonio,LA Lakers,0,4,8,764.0,0,0
23,San Antonio,LA Lakers,1,4,8,852.0,0,0
24,San Antonio,LA Lakers,0,4,8,860.0,0,0
25,San Antonio,LA Lakers,0,4,8,888.0,0,0
26,San Antonio,LA Lakers,1,4,8,892.0,0,0
27,San Antonio,LA Lakers,1,4,8,948.0,0,0
28,San Antonio,LA Lakers,0,4,8,952.0,0,0
29,San Antonio,LA Lakers,0,4,8,968.0,0,0
30,San Antonio,LA Lakers,0,4,8,1032.0,0,0
31,San Antonio,LA Lakers,1,4,8,1040.0,0,0
32,San Antonio,LA Lakers,1,6,8,1076.0,0,0
33,San Antonio,LA Lakers,0,6,10,1136.0,0,0
34,San Antonio,LA Lakers,1,6,10,1144.0,0,0
35,San Antonio,LA Lakers,1,6,10,1144.0,0,0
36,San Antonio,LA Lakers,1,6,10,1144.0,0,0
37,San Antonio,LA Lakers,1,6,10,1228.0,0,0
38,San Antonio,LA Lakers,0,6,10,1232.0,0,0
39,San Antonio,LA Lakers,0,6,10,1244.0,0,0
40,San Antonio,LA Lakers,1,8,10,1268.0,0,0
41,San Antonio,LA Lakers,0,8,12,1356.0,0,0
42,San Antonio,LA Lakers,1,8,12,1404.0,0,0
43,San Antonio,LA Lakers,1,9,12,1404.0,0,0
44,San Antonio,LA Lakers,1,9,12,1404.0,0,0
45,San Antonio,LA Lakers,0,9,12,1408.0,0,0
46,San Antonio,LA Lakers,0,9,12,1448.0,0,0
47,San Antonio,LA Lakers,0,9,13,1448.0,0,0
48,San Antonio,LA Lakers,0,9,14,1448.0,0,0
49,San Antonio,LA Lakers,1,9,14,1516.0,0,0
50,San Antonio,LA Lakers,0,9,14,1524.0,0,0
51,San Antonio,LA Lakers,0,9,16,1548.0,0,0
52,San Antonio,LA Lakers,1,9,16,1640.0,0,0
