,game_id,time,quarter,event,total_time
0,0,720.0,1,Jump ball: A. Johnson vs. D. Howard (R. Wallace gains possession),0.0
1,0,703.0,1,R. Wallace misses 3-pt shot from 23 ft,68.0
2,0,702.0,1,Defensive rebound by H. Turkoglu,72.0
3,0,691.0,1,Turnover by J. Nelson (bad pass; steal by A. Iverson),116.0
4,0,671.0,1,T. Prince makes 2-pt shot from 18 ft (assist by A. Johnson),196.0
5,0,652.0,1,Shooting foul by A. Johnson (drawn by D. Howard),272.0
6,0,652.0,1,D. Howard makes free throw 1 of 2,272.0
7,0,652.0,1,D. Howard misses free throw 2 of 2,272.0
8,0,652.0,1,Defensive rebound by A. Johnson,272.0
9,0,627.0,1,R. Wallace makes 2-pt shot from 12 ft (assist by A. Iverson),372.0
10,0,611.0,1,D. Howard misses 2-pt shot from 8 ft (block by R. Wallace),436.0
11,0,609.0,1,Defensive rebound by A. Iverson,444.0
12,0,604.0,1,A. Iverson misses 2-pt shot from 14 ft,464.0
13,0,603.0,1,Defensive rebound by D. Howard,468.0
14,0,593.0,1,K. Bogans makes 3-pt shot from 24 ft (assist by R. Lewis),508.0
15,0,572.0,1,A. Iverson misses 2-pt shot from 12 ft,592.0
16,0,571.0,1,Defensive rebound by D. Howard,596.0
17,0,552.0,1,D. Howard misses 2-pt shot from 9 ft (block by R. Wallace),672.0
18,0,550.0,1,Defensive rebound by R. Wallace,680.0
19,0,545.0,1,R. Stuckey misses 2-pt shot at rim,700.0
20,0,544.0,1,Offensive rebound by A. Johnson,704.0
21,0,544.0,1,Shooting foul by H. Turkoglu (drawn by A. Johnson),704.0
22,0,544.0,1,A. Johnson misses free throw 1 of 2,704.0
23,0,544.0,1,Offensive rebound by Team,704.0
24,0,544.0,1,A. Johnson makes free throw 2 of 2,704.0
25,0,534.0,1,Shooting foul by R. Wallace (drawn by D. Howard),744.0
26,0,534.0,1,D. Howard misses free throw 1 of 2,744.0
27,0,534.0,1,Offensive rebound by Team,744.0
28,0,534.0,1,D. Howard misses free throw 2 of 2,744.0
29,0,534.0,1,Defensive rebound by A. Johnson,744.0
30,0,509.0,1,R. Wallace misses 3-pt shot from 25 ft,844.0
31,0,508.0,1,Defensive rebound by K. Bogans,848.0
32,0,498.0,1,R. Lewis makes 2-pt shot from 16 ft,888.0
33,0,498.0,1,Shooting foul by A. Johnson (drawn by R. Lewis),888.0
34,0,498.0,1,R. Lewis makes free throw 1 of 1,888.0
35,0,478.0,1,R. Stuckey makes 2-pt shot from 17 ft (assist by A. Iverson),968.0
36,0,469.0,1,J. Nelson misses 2-pt shot at rim (block by A. Johnson),1004.0
37,0,469.0,1,Defensive rebound by Team,1004.0
38,0,445.0,1,R. Stuckey misses 3-pt shot from 23 ft,1100.0
39,0,444.0,1,Defensive rebound by D. Howard,1104.0
40,0,437.0,1,H. Turkoglu makes 2-pt shot at rim,1132.0
41,0,414.0,1,T. Prince makes 2-pt shot from 7 ft,1224.0
42,0,400.0,1,R. Lewis makes 3-pt shot from 26 ft (assist by H. Turkoglu),1280.0
43,0,383.0,1,R. Wallace makes 3-pt shot from 27 ft (assist by R. Stuckey),1348.0
44,0,361.0,1,J. Nelson misses 3-pt shot from 27 ft,1436.0
