,awayteam,hometeam,possession,awayscore,homescore,total_time,win,game_id
0,Orlando,Detroit,1,0,0,0.0,0,0
1,Orlando,Detroit,0,0,0,68.0,0,0
2,Orlando,Detroit,1,0,0,72.0,0,0
3,Orlando,Detroit,1,0,0,116.0,0,0
4,Orlando,Detroit,0,0,2,196.0,0,0
5,Orlando,Detroit,1,0,2,272.0,0,0
6,Orlando,Detroit,1,1,2,272.0,0,0
7,Orlando,Detroit,1,1,2,272.0,0,0
8,Orlando,Detroit,0,1,2,272.0,0,0
9,Orlando,Detroit,0,1,4,372.0,0,0
10,Orlando,Detroit,1,1,4,436.0,0,0
11,Orlando,Detroit,0,1,4,444.0,0,0
12,Orlando,Detroit,0,1,4,464.0,0,0
13,Orlando,Detroit,1,1,4,468.0,0,0
14,Orlando,Detroit,1,4,4,508.0,0,0
15,Orlando,Detroit,0,4,4,592.0,0,0
16,Orlando,Detroit,1,4,4,596.0,0,0
17,Orlando,Detroit,1,4,4,672.0,0,0
18,Orlando,Detroit,0,4,4,680.0,0,0
19,Orlando,Detroit,0,4,4,700.0,0,0
20,Orlando,Detroit,0,4,4,704.0,0,0
21,Orlando,Detroit,0,4,4,704.0,0,0
22,Orlando,Detroit,0,4,4,704.0,0,0
23,Orlando,Detroit,0,4,4,704.0,0,0
24,Orlando,Detroit,0,4,5,704.0,0,0
25,Orlando,Detroit,1,4,5,744.0,0,0
26,Orlando,Detroit,1,4,5,744.0,0,0
27,Orlando,Detroit,1,4,5,744.0,0,0
28,Orlando,Detroit,1,4,5,744.0,0,0
29,Orlando,Detroit,0,4,5,744.0,0,0
30,Orlando,Detroit,0,4,5,844.0,0,0
31,Orlando,Detroit,1,4,5,848.0,0,0
32,Orlando,Detroit,1,6,5,888.0,0,0
33,Orlando,Detroit,1,6,5,888.0,0,0
34,Orlando,Detroit,1,7,5,888.0,0,0
35,Orlando,Detroit,0,7,7,968.0,0,0
36,Orlando,Detroit,1,7,7,1004.0,0,0
37,Orlando,Detroit,0,7,7,1004.0,0,0
38,Orlando,Detroit,0,7,7,1100.0,0,0
39,Orlando,Detroit,1,7,7,1104.0,0,0
40,Orlando,Detroit,1,9,7,1132.0,0,0
41,Orlando,Detroit,0,9,9,1224.0,0,0
42,Orlando,Detroit,1,12,9,1280.0,0,0
43,Orlando,Detroit,0,12,12,1348.0,0,0
44,Orlando,Detroit,1,12,12,1436.0,0,0
45,Orlando,Detroit,1,12,12,1440.0,0,0
46,Orlando,Detroit,1,12,12,1464.0,0,0
47,Orlando,Detroit,0,12,12,1468.0,0,0
48,Orlando,Detroit,0,12,12,1500.0,0,0
49,Orlando,Detroit,0,12,12,1504.0,0,0
50,Orlando,Detroit,0,12,14,1556.0,0,0
51,Orlando,Detroit,1,12,14,1624.0,0,0
52,Orlando,Detroit,0,12,14,1696.0,0,0
53,Orlando,Detroit,1,12,14,1700.0,0,0
54,Orlando,Detroit,1,12,14,1736.0,0,0
55,Orlando,Detroit,1,12,14,1740.0,0,0
56,Orlando,Detroit,1,12,14,1748.0,0,0
57,Orlando,Detroit,1,12,14,1748.0,0,0
58,Orlando,Detroit,0,12,14,1748.0,0,0
59,Orlando,Detroit,1,12,14,1748.0,0,0
60,Orlando,Detroit,1,13,14,1748.0,0,0
61,Orlando,Detroit,1,14,14,1748.0,0,0
62,Orlando,Detroit,0,14,14,1828.0,0,0
63,Orlando,Detroit,1,14,14,1832.0,0,0
64,Orlando,Detroit,1,14,14,1892.0,0,0
65,Orlando,Detroit,0,14,14,1896.0,0,0
66,Orlando,Detroit,0,14,14,1932.0,0,0
67,Orlando,Detroit,1,14,14,1940.0,0,0
68,Orlando,Detroit,1,14,14,2004.0,0,0
69,Orlando,Detroit,0,14,14,2008.0,0,0
70,Orlando,Detroit,0,14,16,2084.0,0,0
71,Orlando,Detroit,1,14,16,2160.0,0,0
72,Orlando,Detroit,1,14,16,2164.0,0,0
73,Orlando,Detroit,1,14,16,2180.0,0,0
74,Orlando,Detroit,0,14,16,2184.0,0,0
75,Orlando,Detroit,0,14,19,2216.0,0,0
76,Orlando,Detroit,1,17,19,2304.0,0,0
77,Orlando,Detroit,0,17,19,2388.0,0,0
78,Orlando,Detroit,1,19,19,2420.0,0,0
79,Orlando,Detroit,0,19,19,2484.0,0,0
80,Orlando,Detroit,0,19,19,2484.0,0,0
81,Orlando,Detroit,1,19,19,2484.0,0,0
82,Orlando,Detroit,1,19,19,2484.0,0,0
83,Orlando,Detroit,0,19,20,2484.0,0,0
84,Orlando,Detroit,0,19,20,2512.0,0,0
85,Orlando,Detroit,0,19,20,2512.0,0,0
86,Orlando,Detroit,1,19,20,2512.0,0,0
87,Orlando,Detroit,1,19,20,2560.0,0,0
88,Orlando,Detroit,1,19,20,2564.0,0,0
89,Orlando,Detroit,1,19,20,2600.0,0,0
90,Orlando,Detroit,0,19,20,2600.0,0,0
91,Orlando,Detroit,1,19,20,2600.0,0,0
92,Orlando,Detroit,0,19,20,2600.0,0,0
93,Orlando,Detroit,0,19,20,2688.0,0,0
94,Orlando,Detroit,0,19,21,2688.0,0,0
95,Orlando,Detroit,0,19,22,2688.0,0,0
96,Orlando,Detroit,1,19,22,2756.0,0,0
97,Orlando,Detroit,0,19,22,2760.0,0,0
98,Orlando,Detroit,0,19,22,2852.0,0,0
99,Orlando,Detroit,0,19,23,2852.0,0,0
100,Orlando,Detroit,0,19,24,2852.0,0,0
101,Orlando,Detroit,1,19,24,720.0,0,0
102,Orlando,Detroit,1,19,24,720.0,0,0
103,Orlando,Detroit,1,19,24,1440.0,0,0
104,Orlando,Detroit,1,19,24,720.0,0,0
105,Orlando,Detroit,1,19,24,780.0,0,0
106,Orlando,Detroit,0,19,24,783.0,0,0
107,Orlando,Detroit,0,19,26,843.0,0,0
108,Orlando,Detroit,1,19,26,873.0,0,0
109,Orlando,Detroit,0,19,26,882.0,0,0
110,Orlando,Detroit,0,19,28,906.0,0,0
111,Orlando,Detroit,1,19,28,927.0,0,0
112,Orlando,Detroit,1,19,28,927.0,0,0
113,Orlando,Detroit,0,19,28,927.0,0,0
114,Orlando,Detroit,1,19,28,927.0,0,0
115,Orlando,Detroit,1,21,28,948.0,0,0
116,Orlando,Detroit,0,21,28,963.0,0,0
117,Orlando,Detroit,0,21,28,963.0,0,0
118,Orlando,Detroit,1,21,28,963.0,0,0
119,Orlando,Detroit,0,21,28,984.0,0,0
120,Orlando,Detroit,1,21,28,987.0,0,0
121,Orlando,Detroit,1,23,28,1050.0,0,0
122,Orlando,Detroit,0,23,30,1119.0,0,0
123,Orlando,Detroit,1,23,30,1158.0,0,0
124,Orlando,Detroit,1,23,30,1182.0,0,0
125,Orlando,Detroit,0,23,30,1191.0,0,0
126,Orlando,Detroit,0,23,32,1227.0,0,0
127,Orlando,Detroit,1,23,32,1257.0,0,0
128,Orlando,Detroit,0,23,32,1260.0,0,0
129,Orlando,Detroit,0,23,34,1293.0,0,0
130,Orlando,Detroit,0,23,34,1293.0,0,0
131,Orlando,Detroit,1,23,34,1293.0,0,0
132,Orlando,Detroit,1,23,34,1293.0,0,0
133,Orlando,Detroit,0,23,35,1293.0,0,0
134,Orlando,Detroit,1,23,35,1347.0,0,0
135,Orlando,Detroit,0,23,35,1350.0,0,0
136,Orlando,Detroit,0,23,35,1374.0,0,0
137,Orlando,Detroit,1,25,35,1413.0,0,0
138,Orlando,Detroit,0,25,35,1455.0,0,0
139,Orlando,Detroit,0,25,35,1455.0,0,0
140,Orlando,Detroit,0,25,36,1455.0,0,0
141,Orlando,Detroit,0,25,37,1455.0,0,0
142,Orlando,Detroit,1,27,37,1518.0,0,0
143,Orlando,Detroit,0,27,37,1578.0,0,0
144,Orlando,Detroit,1,27,37,1581.0,0,0
145,Orlando,Detroit,1,27,37,1620.0,0,0
146,Orlando,Detroit,0,27,37,1626.0,0,0
147,Orlando,Detroit,0,27,39,1698.0,0,0
148,Orlando,Detroit,1,27,39,1737.0,0,0
149,Orlando,Detroit,0,27,39,1737.0,0,0
150,Orlando,Detroit,1,29,39,1758.0,0,0
151,Orlando,Detroit,1,29,39,1758.0,0,0
152,Orlando,Detroit,1,29,39,1758.0,0,0
153,Orlando,Detroit,0,29,39,1761.0,0,0
154,Orlando,Detroit,0,29,41,1812.0,0,0
155,Orlando,Detroit,1,31,41,1860.0,0,0
156,Orlando,Detroit,0,31,41,1929.0,0,0
157,Orlando,Detroit,1,31,41,1932.0,0,0
158,Orlando,Detroit,1,31,41,1947.0,0,0
159,Orlando,Detroit,1,31,41,1947.0,0,0
160,Orlando,Detroit,0,31,43,1989.0,0,0
161,Orlando,Detroit,1,34,43,2028.0,0,0
162,Orlando,Detroit,0,34,43,2088.0,0,0
163,Orlando,Detroit,1,34,43,2091.0,0,0
164,Orlando,Detroit,1,36,43,2109.0,0,0
165,Orlando,Detroit,0,36,43,2127.0,0,0
