,awayteam,hometeam,possession,awayscore,homescore,total_time,win,game_id
0,Minnesota,Miami,1,0,2,0.0,1,0
1,Minnesota,Miami,0,0,2,72.0,1,0
2,Minnesota,Miami,1,0,2,136.0,1,0
3,Minnesota,Miami,0,0,2,140.0,1,0
4,Minnesota,Miami,0,0,2,184.0,1,0
5,Minnesota,Miami,0,0,4,212.0,1,0
6,Minnesota,Miami,1,0,4,272.0,1,0
7,Minnesota,Miami,1,2,4,304.0,1,0
8,Minnesota,Miami,0,2,6,376.0,1,0
9,Minnesota,Miami,1,2,6,456.0,1,0
10,Minnesota,Miami,1,2,6,460.0,1,0
11,Minnesota,Miami,1,2,6,460.0,1,0
12,Minnesota,Miami,0,2,6,516.0,1,0
13,Minnesota,Miami,1,2,6,520.0,1,0
14,Minnesota,Miami,1,4,6,576.0,1,0
15,Minnesota,Miami,0,4,6,636.0,1,0
16,Minnesota,Miami,0,4,7,636.0,1,0
17,Minnesota,Miami,1,4,7,636.0,1,0
18,Minnesota,Miami,0,4,8,636.0,1,0
19,Minnesota,Miami,1,4,8,684.0,1,0
20,Minnesota,Miami,0,4,8,688.0,1,0
21,Minnesota,Miami,0,4,8,756.0,1,0
22,Minnesota,Miami,1,4,8,760.0,1,0
23,Minnesota,Miami,1,4,8,776.0,1,0
24,Minnesota,Miami,1,4,8,812.0,1,0
25,Minnesota,Miami,0,4,8,828.0,1,0
26,Minnesota,Miami,0,4,10,852.0,1,0
27,Minnesota,Miami,1,4,10,912.0,1,0
28,Minnesota,Miami,1,4,10,912.0,1,0
29,Minnesota,Miami,0,4,10,956.0,1,0
30,Minnesota,Miami,1,4,10,960.0,1,0
31,Minnesota,Miami,0,4,10,960.0,1,0
32,Minnesota,Miami,1,4,10,1012.0,1,0
33,Minnesota,Miami,0,4,10,1016.0,1,0
34,Minnesota,Miami,0,4,10,1088.0,1,0
35,Minnesota,Miami,1,4,10,1092.0,1,0
36,Minnesota,Miami,1,4,10,1116.0,1,0
37,Minnesota,Miami,1,4,10,1116.0,1,0
38,Minnesota,Miami,0,4,11,1116.0,1,0
39,Minnesota,Miami,0,4,11,1212.0,1,0
40,Minnesota,Miami,0,4,11,1216.0,1,0
41,Minnesota,Miami,0,4,13,1216.0,1,0
42,Minnesota,Miami,1,4,13,1288.0,1,0
43,Minnesota,Miami,1,4,13,1288.0,1,0
44,Minnesota,Miami,1,4,13,1288.0,1,0
45,Minnesota,Miami,1,4,13,1336.0,1,0
46,Minnesota,Miami,0,4,15,1352.0,1,0
47,Minnesota,Miami,1,4,15,1384.0,1,0
48,Minnesota,Miami,1,7,15,1436.0,1,0
49,Minnesota,Miami,0,7,17,1524.0,1,0
50,Minnesota,Miami,1,9,17,1576.0,1,0
51,Minnesota,Miami,0,9,17,1648.0,1,0
52,Minnesota,Miami,1,11,17,1692.0,1,0
53,Minnesota,Miami,0,11,17,1816.0,1,0
54,Minnesota,Miami,1,11,17,1872.0,1,0
55,Minnesota,Miami,0,11,17,1876.0,1,0
56,Minnesota,Miami,0,11,19,1920.0,1,0
57,Minnesota,Miami,1,11,19,1992.0,1,0
58,Minnesota,Miami,1,11,19,1992.0,1,0
59,Minnesota,Miami,0,11,19,1992.0,1,0
60,Minnesota,Miami,1,12,19,1992.0,1,0
61,Minnesota,Miami,0,12,19,1992.0,1,0
62,Minnesota,Miami,0,12,19,1992.0,1,0
63,Minnesota,Miami,1,13,19,1992.0,1,0
64,Minnesota,Miami,0,13,21,2040.0,1,0
65,Minnesota,Miami,0,13,21,2040.0,1,0
66,Minnesota,Miami,0,13,22,2040.0,1,0
67,Minnesota,Miami,1,13,22,2100.0,1,0
68,Minnesota,Miami,0,13,22,2104.0,1,0
