,game_id,time,quarter,event,total_time
0,0,720.0,1,Jump ball: S. O'Neal vs. E. Dampier (S. Nash gains possession),0.0
1,0,708.0,1,S. Nash makes 2-pt shot at rim (assist by G. Hill),48.0
2,0,687.0,1,D. Nowitzki misses 2-pt shot from 17 ft,132.0
3,0,684.0,1,Defensive rebound by M. Barnes,144.0
4,0,675.0,1,Turnover by M. Barnes (bad pass; steal by J. Kidd),180.0
5,0,675.0,1,Personal foul by J. Richardson (drawn by J. Kidd),180.0
6,0,659.0,1,A. Wright makes 2-pt shot from 17 ft,244.0
7,0,643.0,1,S. Nash makes 2-pt shot at rim (assist by G. Hill),308.0
8,0,635.0,1,A. Wright misses 2-pt shot from 11 ft,340.0
9,0,633.0,1,Defensive rebound by G. Hill,348.0
10,0,620.0,1,M. Barnes misses 3-pt shot from 22 ft,400.0
11,0,618.0,1,Offensive rebound by S. O'Neal,408.0
12,0,616.0,1,M. Barnes makes 2-pt shot at rim (assist by S. O'Neal),416.0
13,0,598.0,1,D. Nowitzki misses 2-pt shot from 17 ft,488.0
14,0,596.0,1,Defensive rebound by M. Barnes,496.0
15,0,592.0,1,S. Nash misses 3-pt shot from 24 ft,512.0
16,0,590.0,1,Defensive rebound by A. Wright,520.0
17,0,583.0,1,J. Barea makes 2-pt shot from 18 ft,548.0
18,0,567.0,1,J. Richardson makes 3-pt shot from 23 ft (assist by S. Nash),612.0
19,0,546.0,1,D. Nowitzki makes 2-pt shot from 18 ft,696.0
20,0,523.0,1,S. Nash misses 2-pt shot from 10 ft,788.0
21,0,522.0,1,Defensive rebound by Team,792.0
22,0,518.0,1,Loose ball foul by S. Nash (drawn by J. Kidd),808.0
23,0,513.0,1,D. Nowitzki misses 2-pt shot from 15 ft,828.0
24,0,512.0,1,Defensive rebound by S. O'Neal,832.0
25,0,511.0,1,Shooting foul by A. Wright (drawn by M. Barnes),836.0
26,0,511.0,1,M. Barnes makes free throw 1 of 2,836.0
27,0,511.0,1,M. Barnes misses free throw 2 of 2,836.0
28,0,510.0,1,Defensive rebound by E. Dampier,840.0
29,0,498.0,1,J. Barea makes 2-pt shot from 8 ft,888.0
30,0,483.0,1,S. O'Neal makes 2-pt shot at rim (assist by M. Barnes),948.0
31,0,470.0,1,J. Barea makes 2-pt shot from 18 ft,1000.0
32,0,459.0,1,S. Nash misses 2-pt shot at rim,1044.0
33,0,458.0,1,Defensive rebound by E. Dampier,1048.0
34,0,451.0,1,J. Barea makes 2-pt shot at rim,1076.0
35,0,441.0,1,J. Richardson misses 3-pt shot from 25 ft,1116.0
36,0,439.0,1,Defensive rebound by E. Dampier,1124.0
37,0,434.0,1,J. Barea misses 2-pt shot at rim,1144.0
38,0,433.0,1,Defensive rebound by G. Hill,1148.0
39,0,426.0,1,S. O'Neal makes 2-pt shot from 7 ft (assist by S. Nash),1176.0
40,0,405.0,1,D. Nowitzki misses 2-pt shot from 18 ft,1260.0
41,0,402.0,1,Defensive rebound by G. Hill,1272.0
42,0,389.0,1,J. Richardson misses 2-pt shot from 8 ft,1324.0
43,0,386.0,1,Defensive rebound by A. Wright,1336.0
