,game_id,time,quarter,event,total_time
0,0,720.0,1,Jump ball: Z. Pachulia vs. R. Lopez (K. Dunn gains possession),0.0
1,0,705.0,1,L. Markkanen misses 2-pt shot from 11 ft,60.0
2,0,698.0,1,Defensive rebound by O. Casspi,88.0
3,0,688.0,1,J. Bell makes 2-pt shot from 1 ft (assist by S. Curry),128.0
4,0,679.0,1,Turnover by K. Dunn (bad pass; steal by S. Curry),164.0
5,0,673.0,1,Turnover by K. Thompson (bad pass),188.0
6,0,659.0,1,Personal foul by J. Bell (drawn by L. Markkanen),244.0
7,0,654.0,1,L. Markkanen misses 3-pt shot from 26 ft,264.0
8,0,649.0,1,Defensive rebound by O. Casspi,284.0
9,0,635.0,1,S. Curry makes 2-pt shot from 2 ft (assist by Z. Pachulia),340.0
10,0,615.0,1,K. Dunn makes 2-pt shot from 9 ft (assist by J. Holiday),420.0
11,0,601.0,1,K. Thompson makes 2-pt shot from 20 ft (assist by O. Casspi),476.0
12,0,586.0,1,L. Markkanen makes 3-pt shot from 26 ft (assist by D. Valentine),536.0
13,0,564.0,1,O. Casspi misses 2-pt shot from 2 ft,624.0
14,0,556.0,1,Offensive rebound by Z. Pachulia,656.0
15,0,556.0,1,Z. Pachulia makes 2-pt shot at rim,656.0
16,0,551.0,1,Turnover by L. Markkanen (bad pass; steal by Z. Pachulia),676.0
17,0,547.0,1,J. Bell makes 2-pt shot from 1 ft (assist by Z. Pachulia),692.0
18,0,547.0,1,Chicago full timeout,692.0
19,0,538.0,1,L. Markkanen misses 2-pt shot from 3 ft,728.0
20,0,531.0,1,Offensive rebound by R. Lopez,756.0
21,0,531.0,1,R. Lopez makes 2-pt shot at rim,756.0
22,0,523.0,1,Z. Pachulia makes 2-pt shot from 18 ft,788.0
23,0,507.0,1,D. Valentine makes 3-pt shot from 22 ft (assist by J. Holiday),852.0
24,0,494.0,1,Turnover by S. Curry (bad pass; steal by L. Markkanen),904.0
25,0,488.0,1,D. Valentine misses 3-pt shot from 26 ft,928.0
26,0,482.0,1,Defensive rebound by S. Curry,952.0
27,0,478.0,1,K. Thompson makes 2-pt shot from 19 ft (assist by J. Bell),968.0
28,0,464.0,1,R. Lopez misses 2-pt shot from 11 ft,1024.0
29,0,461.0,1,Defensive rebound by S. Curry,1036.0
30,0,458.0,1,S. Curry misses 3-pt shot from 25 ft,1048.0
31,0,456.0,1,Defensive rebound by Team,1056.0
32,0,446.0,1,L. Markkanen makes 3-pt shot from 25 ft (assist by R. Lopez),1096.0
33,0,429.0,1,Turnover by K. Thompson (bad pass; steal by J. Holiday),1164.0
34,0,421.0,1,D. Valentine makes 2-pt shot from 5 ft,1196.0
35,0,406.0,1,O. Casspi misses 2-pt shot from 3 ft,1256.0
36,0,403.0,1,Defensive rebound by R. Lopez,1268.0
37,0,401.0,1,K. Dunn misses 2-pt shot from 2 ft (block by J. Bell),1276.0
38,0,401.0,1,Offensive rebound by Team,1276.0
39,0,399.0,1,Shooting foul by S. Curry (drawn by J. Holiday),1284.0
40,0,399.0,1,J. Holiday misses free throw 1 of 2,1284.0
